Initial Train Dataset Size: 1806 Sample rate: 0.017718715393133997
Global Epoch (Round): 1, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 48.85, Accuracy: 0.3511, AUC: 0.3713
Global Epoch (Round): 2, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 53.12, Accuracy: 0.3503, AUC: 0.4062
Global Epoch (Round): 3, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 57.49, Accuracy: 0.3503, AUC: 0.4313
Global Epoch (Round): 4, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 62.79, Accuracy: 0.3503, AUC: 0.4495
Global Epoch (Round): 5, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 68.85, Accuracy: 0.3503, AUC: 0.4630
Global Epoch (Round): 6, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 75.17, Accuracy: 0.3503, AUC: 0.4722
Global Epoch (Round): 7, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 82.94, Accuracy: 0.3503, AUC: 0.4801
Global Epoch (Round): 8, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 90.98, Accuracy: 0.3503, AUC: 0.4868
Global Epoch (Round): 9, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 96.54, Accuracy: 0.3503, AUC: 0.4928
Global Epoch (Round): 10, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 98.46, Accuracy: 0.3503, AUC: 0.4980
