Initial Train Dataset Size: 1806 Sample rate: 0.017718715393133997
Global Epoch (Round): 1, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 48.86, Accuracy: 0.3511, AUC: 0.3712
Global Epoch (Round): 2, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 53.20, Accuracy: 0.3503, AUC: 0.4071
Global Epoch (Round): 3, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 57.58, Accuracy: 0.3503, AUC: 0.4322
Global Epoch (Round): 4, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 62.89, Accuracy: 0.3503, AUC: 0.4505
Global Epoch (Round): 5, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 68.95, Accuracy: 0.3503, AUC: 0.4639
Global Epoch (Round): 6, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 75.21, Accuracy: 0.3503, AUC: 0.4731
Global Epoch (Round): 7, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 82.95, Accuracy: 0.3503, AUC: 0.4811
Global Epoch (Round): 8, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 90.96, Accuracy: 0.3503, AUC: 0.4877
Global Epoch (Round): 9, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 96.55, Accuracy: 0.3503, AUC: 0.4942
Global Epoch (Round): 10, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 98.47, Accuracy: 0.3503, AUC: 0.4986
Global Epoch (Round): 11, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 100.66, Accuracy: 0.3503, AUC: 0.5035
Global Epoch (Round): 12, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 100.94, Accuracy: 0.3503, AUC: 0.5076
Global Epoch (Round): 13, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 101.72, Accuracy: 0.3503, AUC: 0.5115
Global Epoch (Round): 14, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 101.06, Accuracy: 0.3503, AUC: 0.5155
Global Epoch (Round): 15, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 102.09, Accuracy: 0.3503, AUC: 0.5173
Global Epoch (Round): 16, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 100.63, Accuracy: 0.3503, AUC: 0.5200
Global Epoch (Round): 17, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 101.42, Accuracy: 0.3503, AUC: 0.5213
Global Epoch (Round): 18, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 100.66, Accuracy: 0.3503, AUC: 0.5231
Global Epoch (Round): 19, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 100.26, Accuracy: 0.3503, AUC: 0.5244
Global Epoch (Round): 20, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 101.01, Accuracy: 0.3503, AUC: 0.5253
Global Epoch (Round): 21, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 100.69, Accuracy: 0.3503, AUC: 0.5264
Global Epoch (Round): 22, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 99.60, Accuracy: 0.3503, AUC: 0.5271
Global Epoch (Round): 23, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 98.75, Accuracy: 0.3503, AUC: 0.5274
Global Epoch (Round): 24, Train Size: 1806, Sample Rate: 0.017718715393133997
Loss: 99.46, Accuracy: 0.3503, AUC: 0.5273
Global Epoch (Round): 25, Train Size: 1806, Sample Rate: 0.017718715393133997
