Initial Train Dataset Size: 768 Sample rate: 0.041666666666666664
Global Epoch (Round): 1, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 52.54, Accuracy: 0.3479, AUC: 0.3519
Global Epoch (Round): 2, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 56.37, Accuracy: 0.2283, AUC: 0.3657
Global Epoch (Round): 3, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 60.75, Accuracy: 0.1415, AUC: 0.3834
Global Epoch (Round): 4, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 65.48, Accuracy: 0.1400, AUC: 0.4001
Global Epoch (Round): 5, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 71.01, Accuracy: 0.1400, AUC: 0.4171
Global Epoch (Round): 6, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 75.74, Accuracy: 0.1400, AUC: 0.4295
Global Epoch (Round): 7, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 81.32, Accuracy: 0.1400, AUC: 0.4404
Global Epoch (Round): 8, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 86.71, Accuracy: 0.1400, AUC: 0.4490
Global Epoch (Round): 9, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 93.19, Accuracy: 0.1400, AUC: 0.4575
Global Epoch (Round): 10, Train Size: 768, Sample Rate: 0.041666666666666664
Loss: 99.81, Accuracy: 0.1400, AUC: 0.4650
