Initial Train Dataset Size: 2691 Sample rate: 0.011891490152359718
Global Epoch (Round): 1, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 142.04, Accuracy: 0.3419, AUC: 0.5457
Global Epoch (Round): 2, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 135.71, Accuracy: 0.3407, AUC: 0.5868
Global Epoch (Round): 3, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 137.69, Accuracy: 0.3415, AUC: 0.6115
Global Epoch (Round): 4, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 140.31, Accuracy: 0.3427, AUC: 0.6245
Global Epoch (Round): 5, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 141.29, Accuracy: 0.3464, AUC: 0.6339
Global Epoch (Round): 6, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 141.20, Accuracy: 0.3528, AUC: 0.6409
Global Epoch (Round): 7, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 139.47, Accuracy: 0.3685, AUC: 0.6472
Global Epoch (Round): 8, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 137.78, Accuracy: 0.3802, AUC: 0.6526
Global Epoch (Round): 9, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 134.74, Accuracy: 0.3987, AUC: 0.6580
Global Epoch (Round): 10, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 132.70, Accuracy: 0.4160, AUC: 0.6622
Global Epoch (Round): 11, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 130.76, Accuracy: 0.4309, AUC: 0.6671
Global Epoch (Round): 12, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 129.80, Accuracy: 0.4438, AUC: 0.6710
Global Epoch (Round): 13, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 128.40, Accuracy: 0.4547, AUC: 0.6747
Global Epoch (Round): 14, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 127.30, Accuracy: 0.4611, AUC: 0.6785
Global Epoch (Round): 15, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 126.09, Accuracy: 0.4696, AUC: 0.6820
Global Epoch (Round): 16, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 125.23, Accuracy: 0.4748, AUC: 0.6856
Global Epoch (Round): 17, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 124.02, Accuracy: 0.4805, AUC: 0.6891
Global Epoch (Round): 18, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 123.64, Accuracy: 0.4849, AUC: 0.6917
Global Epoch (Round): 19, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 122.99, Accuracy: 0.4909, AUC: 0.6945
Global Epoch (Round): 20, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 122.11, Accuracy: 0.5002, AUC: 0.6974
Global Epoch (Round): 21, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 121.58, Accuracy: 0.5042, AUC: 0.7001
Global Epoch (Round): 22, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 121.08, Accuracy: 0.5079, AUC: 0.7027
Global Epoch (Round): 23, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 120.32, Accuracy: 0.5127, AUC: 0.7055
Global Epoch (Round): 24, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 119.81, Accuracy: 0.5175, AUC: 0.7080
Global Epoch (Round): 25, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 119.23, Accuracy: 0.5252, AUC: 0.7109
Global Epoch (Round): 26, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 119.37, Accuracy: 0.5264, AUC: 0.7126
Global Epoch (Round): 27, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 118.90, Accuracy: 0.5288, AUC: 0.7152
Global Epoch (Round): 28, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 118.28, Accuracy: 0.5300, AUC: 0.7178
Global Epoch (Round): 29, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 118.10, Accuracy: 0.5292, AUC: 0.7198
Global Epoch (Round): 30, Train Size: 2691, Sample Rate: 0.011891490152359718
Loss: 118.13, Accuracy: 0.5316, AUC: 0.7213
