Initial Train Dataset Size: 351 Sample rate: 0.09116809116809117
Global Epoch (Round): 1, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 142.11, Accuracy: 0.3415, AUC: 0.5448
Global Epoch (Round): 2, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 135.51, Accuracy: 0.3403, AUC: 0.5870
Global Epoch (Round): 3, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 137.47, Accuracy: 0.3411, AUC: 0.6109
Global Epoch (Round): 4, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 140.41, Accuracy: 0.3415, AUC: 0.6234
Global Epoch (Round): 5, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 141.35, Accuracy: 0.3460, AUC: 0.6335
Global Epoch (Round): 6, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 141.18, Accuracy: 0.3512, AUC: 0.6397
Global Epoch (Round): 7, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 139.22, Accuracy: 0.3681, AUC: 0.6467
Global Epoch (Round): 8, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 137.55, Accuracy: 0.3814, AUC: 0.6525
Global Epoch (Round): 9, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 134.26, Accuracy: 0.4027, AUC: 0.6577
Global Epoch (Round): 10, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 132.35, Accuracy: 0.4176, AUC: 0.6611
Global Epoch (Round): 11, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 130.72, Accuracy: 0.4346, AUC: 0.6660
Global Epoch (Round): 12, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 129.99, Accuracy: 0.4414, AUC: 0.6702
Global Epoch (Round): 13, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 128.34, Accuracy: 0.4539, AUC: 0.6737
Global Epoch (Round): 14, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 127.50, Accuracy: 0.4599, AUC: 0.6779
Global Epoch (Round): 15, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 126.49, Accuracy: 0.4676, AUC: 0.6809
Global Epoch (Round): 16, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 125.56, Accuracy: 0.4732, AUC: 0.6849
Global Epoch (Round): 17, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 124.34, Accuracy: 0.4809, AUC: 0.6881
Global Epoch (Round): 18, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 124.26, Accuracy: 0.4861, AUC: 0.6904
Global Epoch (Round): 19, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 123.44, Accuracy: 0.4930, AUC: 0.6931
Global Epoch (Round): 20, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 122.50, Accuracy: 0.5002, AUC: 0.6967
Global Epoch (Round): 21, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 121.93, Accuracy: 0.5030, AUC: 0.6991
Global Epoch (Round): 22, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 121.35, Accuracy: 0.5075, AUC: 0.7017
Global Epoch (Round): 23, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 120.58, Accuracy: 0.5139, AUC: 0.7045
Global Epoch (Round): 24, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 120.00, Accuracy: 0.5199, AUC: 0.7073
Global Epoch (Round): 25, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 119.52, Accuracy: 0.5236, AUC: 0.7102
Global Epoch (Round): 26, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 119.48, Accuracy: 0.5252, AUC: 0.7122
Global Epoch (Round): 27, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 119.13, Accuracy: 0.5272, AUC: 0.7145
Global Epoch (Round): 28, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 118.45, Accuracy: 0.5284, AUC: 0.7173
Global Epoch (Round): 29, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 118.22, Accuracy: 0.5308, AUC: 0.7193
Global Epoch (Round): 30, Train Size: 351, Sample Rate: 0.09116809116809117
Loss: 118.26, Accuracy: 0.5300, AUC: 0.7209
