epoch,auc,acc,loss
1,0.6539,0.5012,1.1061
2,0.694,0.5137,1.0584
3,0.7137,0.5121,1.1207
4,0.7205,0.5231,1.131
5,0.7293,0.5238,1.119
6,0.7323,0.5309,1.1027
7,0.7369,0.5348,1.1281
8,0.7423,0.534,1.1271
9,0.7458,0.5348,1.1274
10,0.7471,0.5418,1.1044
11,0.7496,0.5332,1.1646
12,0.7516,0.5442,1.1138
13,0.7541,0.5418,1.1615
14,0.7557,0.5442,1.155
15,0.7579,0.5426,1.1431
16,0.7581,0.5481,1.1132
17,0.7599,0.5364,1.1625
18,0.7613,0.5473,1.1072
19,0.7623,0.5457,1.1268
20,0.7643,0.5496,1.1163
21,0.7649,0.5512,1.1157
22,0.7667,0.5496,1.1314
23,0.7675,0.545,1.1463
24,0.7689,0.5489,1.13
25,0.77,0.5465,1.1277
26,0.7709,0.5543,1.1155
27,0.7724,0.5629,1.0921
28,0.7735,0.559,1.1072
29,0.7752,0.5598,1.1018
30,0.7756,0.5653,1.0826
