Epoch,AUC
1,0.47827474369261547
2,0.47614211926726857
3,0.4709913259050693
4,0.4878160424334073
5,0.518922525359092
6,0.5957321441744525
7,0.5411312872716793
8,0.535240254577444
9,0.5174875776734716
10,0.5002585364019254
11,0.49703241148278565
12,0.5001947011932707
13,0.499541646476118
14,0.4996590909090909
15,0.4677117650335879
16,0.46780556261554285
17,0.48409113633022693
18,0.5009446419502286
19,0.4855675811475806
20,0.4923742563741979
21,0.4869044776323245
22,0.4889168729897405
23,0.4859810260384417
24,0.48370460459750425
25,0.5072145946930078
26,0.4926696869921653
27,0.5167381720069153
28,0.5068283704984855
29,0.4970240319069493
30,0.4999013417521705
