Epoch,AUC,Loss,Accuracy
0,,1.1778,
1,0.4783,4.3027,0.24
2,,2.6377,
3,0.4761,27.8452,0.3503
4,,11.4557,
5,0.471,63.6951,0.0094
6,,47.5373,
7,0.4878,63.943,0.5004
8,,58.2808,
9,0.5189,26.9242,0.4949
10,,20.1995,
11,0.5957,24.5961,0.3299
12,,20.9594,
13,0.5411,55.9759,0.0328
14,,28.1763,
15,0.5352,19.2114,0.4879
16,,10.4467,
17,0.5175,32.9651,0.4308
18,,14.6352,
19,0.5003,99.5989,0.5004
20,,76.4689,
21,0.497,108.5278,0.3503
22,,56.9087,
23,0.5002,134.5002,0.3503
24,,74.8532,
25,0.4995,45.3599,0.4926
26,,24.7716,
27,0.4997,153.7881,0.5004
28,,168.7462,
29,0.4677,154.1331,0.4425
30,,201.7737,
31,0.4678,124.8745,0.2877
32,,159.717,
33,0.4841,68.2974,0.3464
34,,70.5509,
35,0.5009,131.3007,0.5004
36,,117.6021,
37,0.4856,113.5365,0.344
38,,75.3606,
39,0.4924,99.0018,0.2721
40,,67.9092,
41,0.4869,87.7423,0.1689
42,,54.9042,
43,0.4889,60.1192,0.498
44,,40.1551,
45,0.486,122.9162,0.3135
46,,83.8764,
47,0.4837,100.1947,0.3518
48,,54.6643,
49,0.5072,121.3144,0.3026
50,,83.6727,
51,0.4927,339.4091,0.3503
52,,233.6605,
53,0.5167,302.987,0.3511
54,,215.1674,
55,0.5068,279.2921,0.3456
56,,203.4891,
57,0.497,351.8221,0.3479
58,,262.4714,
59,0.4999,494.0579,0.3503
