epoch,auc,acc,loss
1,0.7175,0.516,1.0781
2,0.7432,0.5371,1.0397
3,0.7542,0.5356,1.1302
4,0.7611,0.5465,1.101
5,0.7643,0.5364,1.1441
6,0.7694,0.5543,1.0661
7,0.7717,0.5559,1.0943
8,0.7757,0.5567,1.0905
9,0.778,0.5543,1.1113
10,0.7794,0.5629,1.0797
11,0.7803,0.5489,1.1585
12,0.7835,0.5653,1.0869
13,0.7849,0.57,1.0961
14,0.7866,0.5692,1.097
15,0.7893,0.5762,1.0683
16,0.7896,0.5778,1.0645
17,0.79,0.5723,1.0965
18,0.7918,0.5809,1.0475
19,0.7917,0.5817,1.0558
20,0.7937,0.5739,1.0796
21,0.7947,0.5801,1.0334
22,0.7957,0.5825,1.073
23,0.7962,0.5809,1.0646
24,0.7967,0.5841,1.0513
25,0.7985,0.5801,1.0548
26,0.7988,0.5903,1.0459
27,0.8004,0.5833,1.051
28,0.8014,0.5872,1.0402
29,0.8033,0.5754,1.0643
30,0.803,0.5942,1.023
