epoch,auc,acc,loss
1,0.6898,0.5027,1.0949
2,0.7199,0.5246,1.0632
3,0.7332,0.5215,1.1532
4,0.7374,0.5324,1.1425
5,0.7440,0.5285,1.1555
6,0.7467,0.5403,1.1143
7,0.7494,0.5442,1.1395
8,0.7536,0.5434,1.1409
9,0.7555,0.5348,1.1590
10,0.7575,0.5489,1.1167
11,0.7582,0.5332,1.1826
12,0.7607,0.5489,1.1302
13,0.7624,0.5496,1.1587
14,0.7631,0.5489,1.1569
15,0.7649,0.5528,1.1401
16,0.7651,0.5504,1.1120
17,0.7664,0.5434,1.1617
18,0.7679,0.5536,1.1047
19,0.7689,0.5528,1.1106
20,0.7705,0.5551,1.1146
21,0.7716,0.5614,1.1032
22,0.7725,0.5575,1.1294
23,0.7727,0.5496,1.1403
24,0.7736,0.5575,1.1236
25,0.7747,0.5590,1.1220
26,0.7750,0.5676,1.1057
27,0.7768,0.5692,1.0894
28,0.7764,0.5684,1.1018
29,0.7771,0.5723,1.0907
30,0.7782,0.5747,1.0780
