Epoch,AUC,Accuracy,Loss
1,0.72,0.48,1.61
2,0.75,0.54,1.55
3,0.77,0.56,1.53
4,0.79,0.58,1.5
5,0.8,0.58,1.47
6,0.81,0.59,1.45
7,0.81,0.6,1.44
8,0.82,0.6,1.43
9,0.82,0.6,1.44
10,0.83,0.61,1.4
11,0.83,0.61,1.43
12,0.83,0.61,1.41
13,0.83,0.61,1.4
14,0.83,0.61,1.42
15,0.83,0.61,1.42
16,0.83,0.61,1.42
17,0.84,0.62,1.39
18,0.84,0.62,1.39
19,0.84,0.62,1.39
20,0.85,0.62,1.37
21,0.85,0.62,1.37
22,0.85,0.63,1.35
23,0.85,0.63,1.37
24,0.85,0.62,1.38
25,0.85,0.63,1.38
26,0.85,0.63,1.38
27,0.85,0.63,1.36
28,0.86,0.63,1.36
29,0.85,0.62,1.39
30,0.86,0.62,1.38
