Iteration,Epsilon,Delta,Dynamic_Noise_Multiplier,Mean_Performance,Seed
1,,,37.910778522491455,0.6914917050801882,42
1,50.0,0.1,37.910778522491455,0.561363199846346,42
2,50.0,0.01,37.910778522491455,0.6060216196101027,42
3,50.0,0.001,37.910778522491455,0.48904674445404783,42
4,50.0,0.0001,37.910778522491455,0.6798151949486219,42
5,30.0,0.1,37.910778522491455,0.5203372587150678,42
6,30.0,0.01,37.910778522491455,0.6416288533563814,42
7,30.0,0.001,37.910778522491455,0.7003862359550562,42
8,30.0,0.0001,37.910778522491455,0.6128856357437819,42
9,20.0,0.1,37.910778522491455,0.6054157063286276,42
10,20.0,0.01,37.910778522491455,0.7478488427926631,42
11,20.0,0.001,37.910778522491455,0.6299034260059542,42
12,20.0,0.0001,37.910778522491455,0.6262046240276578,42
13,10.0,0.1,37.910778522491455,0.5900710049937579,42
14,10.0,0.01,37.910778522491455,0.6227996254681648,42
15,10.0,0.001,37.910778522491455,0.6800783875924326,42
16,10.0,0.0001,37.910778522491455,0.6264765197349467,42
17,5.0,0.1,37.910778522491455,0.6523447253433208,42
18,5.0,0.01,37.910778522491455,0.6788359502544896,42
19,5.0,0.001,37.910778522491455,0.5575431551906271,42
20,5.0,0.0001,37.910778522491455,0.6944831580716413,42
21,1.0,0.1,37.910778522491455,0.5021700638624795,42
22,1.0,0.01,37.910778522491455,0.7005146811677712,42
23,1.0,0.001,37.910778522491455,0.6003988403918179,42
24,1.0,0.0001,37.910778522491455,0.6469176150004802,42
25,0.1,0.1,37.910778522491455,0.5904542398924422,42
26,0.1,0.01,37.910778522491455,0.5652405646787669,42
27,0.1,0.001,37.910778522491455,0.6752118745798521,42
28,0.1,0.0001,37.910778522491455,0.4920294943820225,42
29,50.0,0.1,37.910778522491455,0.6002787981369442,42
30,50.0,0.1,37.910778522491455,0.6102233986363199,42
31,50.0,0.1,37.910778522491455,0.5601966892346106,42
32,50.0,0.1,37.910778522491455,0.6513825866705081,42
33,50.0,0.01,37.910778522491455,0.6155340679919331,42
34,50.0,0.01,37.910778522491455,0.5883661048689138,42
35,50.0,0.01,37.910778522491455,0.6466913353500432,42
36,50.0,0.01,37.910778522491455,0.6652096537981369,42
37,50.0,0.001,37.910778522491455,0.603960494093921,42
38,50.0,0.001,37.910778522491455,0.5158941947565543,42
39,50.0,0.001,37.910778522491455,0.6698789974070873,42
40,50.0,0.001,37.910778522491455,0.5740726735811006,42
41,50.0,0.0001,37.910778522491455,0.6558256506290214,42
42,50.0,0.0001,37.910778522491455,0.6422398684336886,42
43,50.0,0.0001,37.910778522491455,0.5261818159992318,42
44,50.0,0.0001,37.910778522491455,0.6774737707673101,42
45,30.0,0.1,37.910778522491455,0.689172488716028,42
46,30.0,0.1,37.910778522491455,0.6437623043311246,42
47,30.0,0.1,37.910778522491455,0.6614607341784308,42
48,30.0,0.1,37.910778522491455,0.6046813478344377,42
49,30.0,0.01,37.910778522491455,0.5686590679919331,42
50,30.0,0.01,37.910778522491455,0.5868703783731873,42
51,30.0,0.01,37.910778522491455,0.644701034764237,42
52,30.0,0.01,37.910778522491455,0.6132772736003073,42
53,30.0,0.001,37.910778522491455,0.6693676174013252,42
54,30.0,0.001,37.910778522491455,0.7380596970133487,42
55,30.0,0.001,37.910778522491455,0.6492152237587631,42
56,30.0,0.001,37.910778522491455,0.6328861759339287,42
57,30.0,0.0001,37.910778522491455,0.737066947565543,42
58,30.0,0.0001,37.910778522491455,0.679129753673293,42
59,30.0,0.0001,37.910778522491455,0.649032759531355,42
60,30.0,0.0001,37.910778522491455,0.5175453759723423,42
61,20.0,0.1,37.910778522491455,0.584039481897628,42
62,20.0,0.1,37.910778522491455,0.4288965715932008,42
63,20.0,0.1,37.910778522491455,0.647510023528282,42
64,20.0,0.1,37.910778522491455,0.5272501920676078,42
65,20.0,0.01,37.910778522491455,0.6741837126668587,42
66,20.0,0.01,37.910778522491455,0.6776292254873716,42
67,20.0,0.01,37.910778522491455,0.6981867617401325,42
68,20.0,0.01,37.910778522491455,0.6179295111879382,42
69,20.0,0.001,37.910778522491455,0.7016676870258332,42
70,20.0,0.001,37.910778522491455,0.564639753193124,42
