perf,e,d,seed
0.6914917050801882,,,42
0.6818763204648036,30.0,0.1,42
0.6866840127724959,30.0,0.01,42
0.6870891553826947,30.0,0.001,42
0.6870891553826947,30.0,0.0001,42
0.6846853092288485,20.0,0.1,42
0.6870891553826947,20.0,0.01,42
0.6866840127724959,20.0,0.001,42
0.6842801666186498,20.0,0.0001,42
0.6870891553826947,10.0,0.1,42
0.6898357221742053,10.0,0.01,42
0.6898357221742053,10.0,0.001,42
0.690240864784404,10.0,0.0001,42
0.6874318760203592,1.0,0.1,42
0.6787246110630942,1.0,0.01,42
0.7023225175261693,1.0,0.001,42
0.6894930015365409,1.0,0.0001,42
0.6758937145875348,,,43
0.6391370762508403,30.0,0.1,43
0.6475016205704408,30.0,0.01,43
0.6367332300969941,30.0,0.001,43
0.6391370762508403,30.0,0.0001,43
0.6367332300969941,20.0,0.1,43
0.6395422188610391,20.0,0.01,43
0.6446926318063958,20.0,0.001,43
0.6502481873619514,20.0,0.0001,43
0.6394797968885048,10.0,0.1,43
0.6367332300969941,10.0,0.01,43
0.6446926318063958,10.0,0.001,43
0.6419460650148852,10.0,0.0001,43
0.6319879597618361,1.0,0.1,43
0.6426315062902141,1.0,0.01,43
0.6276208225295304,1.0,0.001,43
0.6422887856525497,1.0,0.0001,43
0.6501281451070777,,,44
0.6400587006626333,30.0,0.1,44
0.6400587006626333,30.0,0.01,44
0.6400587006626333,30.0,0.001,44
0.6400587006626333,30.0,0.0001,44
0.6400587006626333,20.0,0.1,44
0.6345031451070777,20.0,0.01,44
0.6400587006626333,20.0,0.001,44
0.6400587006626333,20.0,0.0001,44
0.6400587006626333,10.0,0.1,44
0.6345031451070777,10.0,0.01,44
0.6400587006626333,10.0,0.001,44
0.6400587006626333,10.0,0.0001,44
0.6612392562181888,1.0,0.1,44
0.6612392562181888,1.0,0.01,44
0.6396535580524344,1.0,0.001,44
0.6449288149428598,1.0,0.0001,44
0.6694384423317008,,,45
0.6260932848362624,30.0,0.1,45
0.6309009771439547,30.0,0.01,45
0.622941575434553,30.0,0.001,45
0.6389092960722174,30.0,0.0001,45
0.6413131422260636,20.0,0.1,45
0.6253454215883991,20.0,0.01,45
0.6253454215883991,20.0,0.001,45
0.6253454215883991,20.0,0.0001,45
0.6465259771439547,10.0,0.1,45
0.6516763900893114,10.0,0.01,45
0.6284971309901085,10.0,0.001,45
0.6253454215883991,10.0,0.0001,45
0.6393144386824162,1.0,0.1,45
0.6358335133967157,1.0,0.01,45
0.6149332565062902,1.0,0.001,45
0.6417317895899356,1.0,0.0001,45
0.7343963075002401,,,46
0.7339911648900413,30.0,0.1,46
0.7339911648900413,30.0,0.01,46
0.7339911648900413,30.0,0.001,46
0.7368001536540862,30.0,0.0001,46
0.7368001536540862,20.0,0.1,46
0.7183661648900413,20.0,0.01,46
0.7368001536540862,20.0,0.001,46
0.7284356093344858,20.0,0.0001,46
0.7395467204455969,10.0,0.1,46
0.7183661648900413,10.0,0.01,46
0.7339911648900413,10.0,0.001,46
0.7311821761259963,10.0,0.0001,46
0.7183661648900413,1.0,0.1,46
0.7368001536540862,1.0,0.01,46
0.7215178742917506,1.0,0.001,46
0.7347390281379046,1.0,0.0001,46
