perf,e,d,seed
0.6914917050801882,,,42
0.6818763204648036,30.0,0.1,42
0.6866840127724959,30.0,0.01,42
0.6870891553826947,30.0,0.001,42
0.6870891553826947,30.0,0.0001,42
0.6846853092288485,20.0,0.1,42
0.6870891553826947,20.0,0.01,42
0.6866840127724959,20.0,0.001,42
0.6842801666186498,20.0,0.0001,42
0.6870891553826947,10.0,0.1,42
0.6898357221742053,10.0,0.01,42
0.6898357221742053,10.0,0.001,42
0.690240864784404,10.0,0.0001,42
0.6874318760203592,1.0,0.1,42
0.6787246110630942,1.0,0.01,42
0.7023225175261693,1.0,0.001,42
0.6894930015365409,1.0,0.0001,42
