Initial Train Dataset Size: 9930 Sample rate: 0.0032225579053373615
Global Epoch (Round): 1, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 141.89, Accuracy: 0.3419, AUC: 0.5460
Global Epoch (Round): 2, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 135.49, Accuracy: 0.3403, AUC: 0.5873
Global Epoch (Round): 3, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 137.10, Accuracy: 0.3415, AUC: 0.6123
Global Epoch (Round): 4, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 139.43, Accuracy: 0.3431, AUC: 0.6256
Global Epoch (Round): 5, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 140.38, Accuracy: 0.3476, AUC: 0.6351
Global Epoch (Round): 6, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 140.15, Accuracy: 0.3548, AUC: 0.6421
Global Epoch (Round): 7, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 138.49, Accuracy: 0.3697, AUC: 0.6483
Global Epoch (Round): 8, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 136.67, Accuracy: 0.3826, AUC: 0.6538
Global Epoch (Round): 9, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 133.62, Accuracy: 0.4015, AUC: 0.6591
Global Epoch (Round): 10, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 131.63, Accuracy: 0.4197, AUC: 0.6637
Global Epoch (Round): 11, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 129.86, Accuracy: 0.4362, AUC: 0.6685
Global Epoch (Round): 12, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 128.81, Accuracy: 0.4478, AUC: 0.6723
Global Epoch (Round): 13, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 127.34, Accuracy: 0.4571, AUC: 0.6761
Global Epoch (Round): 14, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 126.32, Accuracy: 0.4668, AUC: 0.6797
Global Epoch (Round): 15, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 125.01, Accuracy: 0.4724, AUC: 0.6834
Global Epoch (Round): 16, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 124.22, Accuracy: 0.4772, AUC: 0.6870
Global Epoch (Round): 17, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 123.09, Accuracy: 0.4829, AUC: 0.6905
Global Epoch (Round): 18, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 122.70, Accuracy: 0.4889, AUC: 0.6931
Global Epoch (Round): 19, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 122.07, Accuracy: 0.4950, AUC: 0.6959
Global Epoch (Round): 20, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 121.11, Accuracy: 0.5042, AUC: 0.6991
Global Epoch (Round): 21, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 120.60, Accuracy: 0.5066, AUC: 0.7017
Global Epoch (Round): 22, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 120.17, Accuracy: 0.5111, AUC: 0.7043
Global Epoch (Round): 23, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 119.44, Accuracy: 0.5155, AUC: 0.7071
Global Epoch (Round): 24, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 119.06, Accuracy: 0.5219, AUC: 0.7095
Global Epoch (Round): 25, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 118.53, Accuracy: 0.5276, AUC: 0.7123
Global Epoch (Round): 26, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 118.55, Accuracy: 0.5280, AUC: 0.7142
Global Epoch (Round): 27, Train Size: 9930, Sample Rate: 0.0032225579053373615
Loss: 118.16, Accuracy: 0.5296, AUC: 0.7166
Global Epoch (Round): 28, Train Size: 9930, Sample Rate: 0.0032225579053373615
