Initial Train Dataset Size: 655 Sample rate: 0.04885496183206107
Global Epoch (Round): 1, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 137.26, Accuracy: 0.3383, AUC: 0.5869
Global Epoch (Round): 2, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 133.69, Accuracy: 0.3407, AUC: 0.6195
Global Epoch (Round): 3, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 136.10, Accuracy: 0.3423, AUC: 0.6333
Global Epoch (Round): 4, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 138.63, Accuracy: 0.3435, AUC: 0.6410
Global Epoch (Round): 5, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 139.71, Accuracy: 0.3500, AUC: 0.6475
Global Epoch (Round): 6, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 139.47, Accuracy: 0.3568, AUC: 0.6522
Global Epoch (Round): 7, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 137.49, Accuracy: 0.3758, AUC: 0.6577
Global Epoch (Round): 8, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 135.83, Accuracy: 0.3947, AUC: 0.6630
Global Epoch (Round): 9, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 132.72, Accuracy: 0.4172, AUC: 0.6687
Global Epoch (Round): 10, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 130.51, Accuracy: 0.4333, AUC: 0.6726
Global Epoch (Round): 11, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 128.72, Accuracy: 0.4482, AUC: 0.6779
Global Epoch (Round): 12, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 127.73, Accuracy: 0.4571, AUC: 0.6822
Global Epoch (Round): 13, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 126.38, Accuracy: 0.4680, AUC: 0.6862
Global Epoch (Round): 14, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 125.48, Accuracy: 0.4764, AUC: 0.6903
Global Epoch (Round): 15, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 124.28, Accuracy: 0.4841, AUC: 0.6936
Global Epoch (Round): 16, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 123.43, Accuracy: 0.4881, AUC: 0.6972
Global Epoch (Round): 17, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 122.32, Accuracy: 0.4917, AUC: 0.7007
Global Epoch (Round): 18, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 121.99, Accuracy: 0.4954, AUC: 0.7033
Global Epoch (Round): 19, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 121.36, Accuracy: 0.5014, AUC: 0.7059
Global Epoch (Round): 20, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 120.54, Accuracy: 0.5058, AUC: 0.7094
Global Epoch (Round): 21, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 120.03, Accuracy: 0.5115, AUC: 0.7119
Global Epoch (Round): 22, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 119.36, Accuracy: 0.5159, AUC: 0.7144
Global Epoch (Round): 23, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 118.72, Accuracy: 0.5175, AUC: 0.7170
Global Epoch (Round): 24, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 118.18, Accuracy: 0.5203, AUC: 0.7196
Global Epoch (Round): 25, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 117.87, Accuracy: 0.5248, AUC: 0.7221
Global Epoch (Round): 26, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 117.80, Accuracy: 0.5256, AUC: 0.7239
Global Epoch (Round): 27, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 117.47, Accuracy: 0.5300, AUC: 0.7260
Global Epoch (Round): 28, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 116.92, Accuracy: 0.5324, AUC: 0.7282
Global Epoch (Round): 29, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 116.73, Accuracy: 0.5336, AUC: 0.7299
Global Epoch (Round): 30, Train Size: 655, Sample Rate: 0.04885496183206107
Loss: 116.76, Accuracy: 0.5369, AUC: 0.7312
