Initial Train Dataset Size: 3163 Sample rate: 0.010116977552956055
Global Epoch (Round): 1, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 137.24, Accuracy: 0.3383, AUC: 0.5877
Global Epoch (Round): 2, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 134.08, Accuracy: 0.3407, AUC: 0.6201
Global Epoch (Round): 3, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 136.50, Accuracy: 0.3423, AUC: 0.6340
Global Epoch (Round): 4, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 138.69, Accuracy: 0.3435, AUC: 0.6417
Global Epoch (Round): 5, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 139.77, Accuracy: 0.3496, AUC: 0.6479
Global Epoch (Round): 6, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 139.64, Accuracy: 0.3568, AUC: 0.6533
Global Epoch (Round): 7, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 137.64, Accuracy: 0.3754, AUC: 0.6586
Global Epoch (Round): 8, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 135.83, Accuracy: 0.3943, AUC: 0.6637
Global Epoch (Round): 9, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 132.65, Accuracy: 0.4152, AUC: 0.6692
Global Epoch (Round): 10, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 130.52, Accuracy: 0.4309, AUC: 0.6740
Global Epoch (Round): 11, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 128.64, Accuracy: 0.4470, AUC: 0.6788
Global Epoch (Round): 12, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 127.28, Accuracy: 0.4587, AUC: 0.6830
Global Epoch (Round): 13, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 125.91, Accuracy: 0.4672, AUC: 0.6871
Global Epoch (Round): 14, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 124.84, Accuracy: 0.4736, AUC: 0.6907
Global Epoch (Round): 15, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 123.53, Accuracy: 0.4817, AUC: 0.6947
Global Epoch (Round): 16, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 122.66, Accuracy: 0.4877, AUC: 0.6981
Global Epoch (Round): 17, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 121.65, Accuracy: 0.4930, AUC: 0.7015
Global Epoch (Round): 18, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 121.16, Accuracy: 0.4974, AUC: 0.7044
Global Epoch (Round): 19, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 120.61, Accuracy: 0.5026, AUC: 0.7071
Global Epoch (Round): 20, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 119.69, Accuracy: 0.5091, AUC: 0.7102
Global Epoch (Round): 21, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 119.29, Accuracy: 0.5119, AUC: 0.7126
Global Epoch (Round): 22, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 118.69, Accuracy: 0.5159, AUC: 0.7153
Global Epoch (Round): 23, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 118.04, Accuracy: 0.5195, AUC: 0.7178
Global Epoch (Round): 24, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 117.51, Accuracy: 0.5228, AUC: 0.7203
Global Epoch (Round): 25, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 117.10, Accuracy: 0.5248, AUC: 0.7227
Global Epoch (Round): 26, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 117.10, Accuracy: 0.5256, AUC: 0.7244
Global Epoch (Round): 27, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 116.73, Accuracy: 0.5300, AUC: 0.7265
Global Epoch (Round): 28, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 116.15, Accuracy: 0.5308, AUC: 0.7287
Global Epoch (Round): 29, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 116.02, Accuracy: 0.5344, AUC: 0.7304
Global Epoch (Round): 30, Train Size: 3163, Sample Rate: 0.010116977552956055
Loss: 116.09, Accuracy: 0.5373, AUC: 0.7316
