Iteration,Epsilon,Delta,Noise,Mean_Performance,Seed
0,30.0,0.1,0.0009347309047977129,0.6846853092288485,42
1,30.0,0.1,0.0011977345993121466,0.6870891553826947,42
2,30.0,0.1,0.0034461749096711476,0.6842801666186498,42
3,30.0,0.1,0.0018378617862860362,0.6870891553826947,42
4,30.0,0.01,0.0010771853228410085,0.6894930015365409,42
5,30.0,0.01,0.0013583169629176458,0.6898357221742053,42
6,30.0,0.01,0.004037389904260636,0.6926447109382502,42
7,30.0,0.01,0.001977630704641342,0.6842801666186498,42
8,30.0,0.001,0.0011341825127601623,0.6846853092288485,42
9,30.0,0.001,0.0016474871585766475,0.6870891553826947,42
10,30.0,0.001,0.00423775315284729,0.6842801666186498,42
11,30.0,0.001,0.0023919112980365755,0.6842801666186498,42
12,30.0,0.0001,0.0013537731021642685,0.6898357221742053,42
13,30.0,0.0001,0.0017029572278261184,0.6926447109382502,42
14,30.0,0.0001,0.004112101842959722,0.6846853092288485,42
15,30.0,0.0001,0.0020029007146755854,0.6846853092288485,42
16,20.0,0.1,0.001804823987185955,0.6842801666186498,42
17,20.0,0.1,0.002372746728360653,0.6846853092288485,42
18,20.0,0.1,0.005688804015517235,0.6842801666186498,42
19,20.0,0.1,0.0030652232468128203,0.6818763204648036,42
20,20.0,0.01,0.0020901205018162726,0.6842801666186498,42
21,20.0,0.01,0.0023907633498311044,0.6950485570920965,42
22,20.0,0.01,0.007404858618974686,0.6846853092288485,42
23,20.0,0.01,0.0037336066365242005,0.6842801666186498,42
24,20.0,0.001,0.0023316554725170135,0.6870891553826947,42
25,20.0,0.001,0.0029449233785271644,0.6894930015365409,42
26,20.0,0.001,0.007727428525686264,0.6846853092288485,42
27,20.0,0.001,0.003940498083829879,0.6842801666186498,42
28,20.0,0.0001,0.0025065790861845015,0.6870891553826947,42
29,20.0,0.0001,0.0031854663044214248,0.6842801666186498,42
30,20.0,0.0001,0.008338884264230729,0.6842801666186498,42
31,20.0,0.0001,0.004090606421232224,0.6842801666186498,42
32,10.0,0.1,0.005155334994196892,0.6866840127724959,42
33,10.0,0.1,0.006109770014882087,0.6842801666186498,42
34,10.0,0.1,0.017529810965061187,0.6846853092288485,42
35,10.0,0.1,0.007613498717546463,0.6950485570920965,42
36,10.0,0.01,0.006152445450425148,0.6870891553826947,42
37,10.0,0.01,0.006796702742576599,0.6870891553826947,42
38,10.0,0.01,0.018412186205387114,0.6846853092288485,42
39,10.0,0.01,0.009961334615945816,0.6842801666186498,42
40,10.0,0.001,0.0068607360124588014,0.6842801666186498,42
41,10.0,0.001,0.008432663232088088,0.6846853092288485,42
42,10.0,0.001,0.02228856086730957,0.6842801666186498,42
43,10.0,0.001,0.012014336138963699,0.6870891553826947,42
44,10.0,0.0001,0.007523637264966965,0.6846853092288485,42
45,10.0,0.0001,0.008411535620689392,0.6870891553826947,42
46,10.0,0.0001,0.027051842212677,0.6898357221742053,42
47,10.0,0.0001,0.012923154234886169,0.6870891553826947,42
48,1.0,0.1,0.16174980998039246,0.6842801666186498,42
49,1.0,0.1,0.20738020539283752,0.6818763204648036,42
50,1.0,0.1,0.516941487789154,0.6846853092288485,42
51,1.0,0.1,0.2854895293712616,0.6870891553826947,42
52,1.0,0.01,0.2926817238330841,0.6870891553826947,42
53,1.0,0.01,0.3682214915752411,0.6870891553826947,42
54,1.0,0.01,0.8699700236320496,0.6846853092288485,42
55,1.0,0.01,0.5178964734077454,0.6842801666186498,42
56,1.0,0.001,0.38699033856391907,0.6870891553826947,42
57,1.0,0.001,0.5062044858932495,0.6870891553826947,42
58,1.0,0.001,1.3319815397262573,0.6842801666186498,42
59,1.0,0.001,0.6226257085800171,0.6842801666186498,42
60,1.0,0.0001,0.46830475330352783,0.6846853092288485,42
61,1.0,0.0001,0.5978497862815857,0.6866840127724959,42
62,1.0,0.0001,1.499879240989685,0.6870891553826947,42
63,1.0,0.0001,0.7997974157333374,0.6898357221742053,42
