perf,epsilon,delta,seed
0.6914917050801882,,,42
0.6846853092288485,"(50.0, 0.1)",0.1,42
0.6842801666186498,"(50.0, 0.01)",0.01,42
0.6870891553826947,"(50.0, 0.001)",0.001,42
0.6870891553826947,"(50.0, 0.0001)",0.0001,42
0.6846853092288485,"(30.0, 0.1)",0.1,42
0.6846853092288485,"(30.0, 0.01)",0.01,42
0.6818763204648036,"(30.0, 0.001)",0.001,42
0.6870891553826947,"(30.0, 0.0001)",0.0001,42
0.6866840127724959,"(20.0, 0.1)",0.1,42
0.6870891553826947,"(20.0, 0.01)",0.01,42
0.6898357221742053,"(20.0, 0.001)",0.001,42
0.6894930015365409,"(20.0, 0.0001)",0.0001,42
0.6894930015365409,"(10.0, 0.1)",0.1,42
0.6926447109382502,"(10.0, 0.01)",0.01,42
0.6926447109382502,"(10.0, 0.001)",0.001,42
0.6866840127724959,"(10.0, 0.0001)",0.0001,42
0.6890878589263421,"(5.0, 0.1)",0.1,42
0.6842801666186498,"(5.0, 0.01)",0.01,42
0.6898357221742053,"(5.0, 0.001)",0.001,42
0.6894930015365409,"(5.0, 0.0001)",0.0001,42
0.6866840127724959,"(1.0, 0.1)",0.1,42
0.6842801666186498,"(1.0, 0.01)",0.01,42
0.6923019903005858,"(1.0, 0.001)",0.001,42
0.6795348962834918,"(1.0, 0.0001)",0.0001,42
0.7138252664938057,"(0.1, 0.1)",0.1,42
0.6864037141073658,"(0.1, 0.01)",0.01,42
0.6134375300105637,"(0.1, 0.001)",0.001,42
0.5598539685969461,"(0.1, 0.0001)",0.0001,42
0.6870891553826947,"(50.0, 0.1, 0.0006279505044221878)",0.1,42
0.6842801666186498,"(50.0, 0.1, 0.000731872096657753)",0.1,42
0.6870891553826947,"(50.0, 0.1, 0.00037100594490766523)",0.1,42
0.6870891553826947,"(50.0, 0.1, 0.0005065148323774338)",0.1,42
0.6842801666186498,"(50.0, 0.01, 0.0007126891613006592)",0.01,42
0.6870891553826947,"(50.0, 0.01, 0.0007909891009330749)",0.01,42
0.6846853092288485,"(50.0, 0.01, 0.0004182027280330658)",0.01,42
0.6870891553826947,"(50.0, 0.01, 0.0005469054728746414)",0.01,42
0.6870891553826947,"(50.0, 0.001, 0.0007459945976734161)",0.001,42
0.6870891553826947,"(50.0, 0.001, 0.0009447456896305084)",0.001,42
0.6846853092288485,"(50.0, 0.001, 0.00043383937329053877)",0.001,42
0.6842801666186498,"(50.0, 0.001, 0.0006275936961174011)",0.001,42
0.6842801666186498,"(50.0, 0.0001, 0.0008873997628688812)",0.0001,42
0.6870891553826947,"(50.0, 0.0001, 0.0009758557379245758)",0.0001,42
0.6846853092288485,"(50.0, 0.0001, 0.00042000766843557357)",0.0001,42
0.6870891553826947,"(50.0, 0.0001, 0.0005677618831396103)",0.0001,42
0.6870891553826947,"(30.0, 0.1, 0.0013813520471254984)",0.1,42
0.6894930015365409,"(30.0, 0.1, 0.0015742938965559005)",0.1,42
0.6846853092288485,"(30.0, 0.1, 0.0006723128259181977)",0.1,42
0.6870891553826947,"(30.0, 0.1, 0.0009893806651234626)",0.1,42
0.6842801666186498,"(30.0, 0.01, 0.0015779513865709304)",0.01,42
0.6846853092288485,"(30.0, 0.01, 0.001562079538901647)",0.01,42
0.6866840127724959,"(30.0, 0.01, 0.0008610832194487254)",0.01,42
0.6842801666186498,"(30.0, 0.01, 0.0011666002372900644)",0.01,42
0.6870891553826947,"(30.0, 0.001, 0.0017296329140663147)",0.001,42
0.6842801666186498,"(30.0, 0.001, 0.0018590154747168224)",0.001,42
0.6870891553826947,"(30.0, 0.001, 0.0009092700978120168)",0.001,42
0.6950485570920965,"(30.0, 0.001, 0.0011885462949673335)",0.001,42
0.6846853092288485,"(30.0, 0.0001, 0.0018480215221643448)",0.0001,42
0.6846853092288485,"(30.0, 0.0001, 0.0020367513100306195)",0.0001,42
0.6846853092288485,"(30.0, 0.0001, 0.0009630780667066574)",0.0001,42
